Entity,Code,Year,Total economic damage from natural disasters (US$),Number of reported natural disasters (reported disasters)
All natural disasters,,1900,30000000,5
All natural disasters,,1901,0,2
All natural disasters,,1902,0,9
All natural disasters,,1903,480000000,8
All natural disasters,,1904,0,2
All natural disasters,,1905,0,4
All natural disasters,,1906,650750000,17
All natural disasters,,1907,30000000,5
All natural disasters,,1908,116000000,4
All natural disasters,,1909,0,11
All natural disasters,,1910,0,15
All natural disasters,,1911,20000000,5
All natural disasters,,1912,35000000,7
All natural disasters,,1913,200000000,5
All natural disasters,,1914,20000000,6
All natural disasters,,1915,121000000,7
All natural disasters,,1916,0,2
All natural disasters,,1917,50000000,6
All natural disasters,,1918,129000000,7
All natural disasters,,1919,25000000,4
All natural disasters,,1920,20000000,7
All natural disasters,,1921,0,2
All natural disasters,,1922,8000000,6
All natural disasters,,1923,610000000,12
All natural disasters,,1924,0,4
All natural disasters,,1925,45000000,6
All natural disasters,,1926,104000000,15
All natural disasters,,1927,102230000,12
All natural disasters,,1928,75000000,17
All natural disasters,,1929,55000000,6
All natural disasters,,1930,40000000,14
All natural disasters,,1931,1447500000,12
All natural disasters,,1932,30000000,8
All natural disasters,,1933,66500000,10
All natural disasters,,1934,50000000,9
All natural disasters,,1935,8000000,11
All natural disasters,,1936,21000000,11
All natural disasters,,1937,438000000,7
All natural disasters,,1938,306000000,7
All natural disasters,,1939,940000000,11
All natural disasters,,1940,43000000,17
All natural disasters,,1941,0,5
All natural disasters,,1942,28000000,9
All natural disasters,,1943,1000000000,12
All natural disasters,,1944,100000000,12
All natural disasters,,1945,480000000,12
All natural disasters,,1946,25500000,15
All natural disasters,,1947,130000000,12
All natural disasters,,1948,1043000000,23
All natural disasters,,1949,159200000,20
All natural disasters,,1950,201000000,23
All natural disasters,,1951,1528250000,27
All natural disasters,,1952,152900000,24
All natural disasters,,1953,984310000,34
All natural disasters,,1954,887000000,33
All natural disasters,,1955,877000000,30
All natural disasters,,1956,25000000,36
All natural disasters,,1957,175000000,29
All natural disasters,,1958,530100000,23
