Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1970-0035-BGD,1970,0035,Natural,Hydrological,Flood,,,,Affect,Bangladesh,BGD,Southern Asia,Asia,,,,,Yes,,,,,Km2,,,,,1970,7,,1970,7,,,,10000000,,10000000,,,25000,15.18633546
1972-0002-AFG,1972,0002,Natural,Hydrological,Flood,,,,Kill,Afghanistan,AFG,Southern Asia,Asia,West,,,,,,,,,Km2,,,,,1972,1,,1972,1,,150,,250000,,250000,,,,16.35652475
1972-0041-BGD,1972,0041,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Sylhet,,,,,,,,,Km2,,,,,1972,6,25,1972,6,25,50,,,,,,,,16.35652475
1973-0123-BGD,1973,0123,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1973,3,,1973,3,,427,,,,,,,,17.36698602
1973-0130-BGD,1973,0130,Natural,Hydrological,Flood,,,,Regional,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1973,8,,1973,8,,,,,,,,,,17.36698602
1974-0034-BGD,1974,0034,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1974,7,,1974,7,,28700,,36000000,2000000,38000000,,,579200,19.28687447
1976-0031-AFG,1976,0031,Natural,Hydrological,Flood,,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Herat, Farah, Kandahar",,,,Yes,,,,,Km2,,,,,1976,4,,1976,4,,51,,80000,,80000,,,,22.25960139
1976-0041-BGD,1976,0041,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Easr,,,,,,,,,Km2,,,,,1976,6,15,1976,6,15,168,,4000000,,4000000,,,,22.25960139
1977-0110-BGD,1977,0110,Natural,Hydrological,Flood,,,,Affect,Bangladesh,BGD,Southern Asia,Asia,Brahmaputra Valley,,,,,,,,,Km2,,,,,1977,9,,1977,9,,5,,200000,,200000,,,,23.706851
1977-0125-BGD,1977,0125,Natural,Hydrological,Flood,,,,Affect,Bangladesh,BGD,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1977,10,13,1977,10,13,8,,13650,,13650,,,,23.706851
1977-0094-IND,1977,0094,Natural,Hydrological,Flood,Riverine flood,,,Kill,India,IND,Southern Asia,Asia,Ganges region,,,,,,,,,Km2,,,,,1977,8,,1977,8,,500,,1000000,,1000000,,,,23.706851
1978-0083-AFG,1978,0083,Natural,Hydrological,Flood,,,,Kill,Afghanistan,AFG,Southern Asia,Asia,"Central and Eastern regions, Pakistan border",,,,Yes,,,,,Km2,,,,,1978,7,,1978,7,,120,140,264044,7500,271684,,,52000,25.51591532
1978-0097-BGD,1978,0097,Natural,Hydrological,Flood,Riverine flood,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Western,,,,,,,,,Km2,,,,,1978,8,,1978,8,,17,,400000,,400000,,,,25.51591532
1970-0034-IND,1970,0034,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"North-East, Western, North",,,,Yes,,,,,Km2,,,,,1970,7,,1970,7,,627,1000,10000000,350000,10351000,,,101200,15.18633546
1970-0105-IND,1970,0105,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"Gujarat, Orissa states",,,,,,,,,Km2,,,,,1970,9,2,1970,9,2,400,,,,,,,,15.18633546
1970-0040-NPL,1970,0040,Natural,Hydrological,Flood,,,,Kill,Nepal,NPL,Southern Asia,Asia,South,,,,Yes,,,,,Km2,,,,,1970,8,15,1970,8,15,350,,20000,,20000,,,,15.18633546
1971-0037-IND,1971,0037,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,North,,,,,,,,,Km2,,,,,1971,6,,1971,6,,1023,,,,,,,530000,15.83825463
1971-0052-IND,1971,0052,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Uttar Pradesh,,,,,,,,,Km2,,,,,1971,9,9,1971,9,9,300,,35000,,35000,,,,15.83825463
1971-0116-IND,1971,0116,Natural,Hydrological,Flood,,,,Affect,India,IND,Southern Asia,Asia,"Brahmaputra, Dhemaji, North Lakhimpur, Jorhat, Tezpur sub-divisions",,,,,,,,2600,Km2,,,,,1971,6,,1971,6,,,,130000,,130000,,,,15.83825463
1973-0033-PAK,1973,0033,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Punjab, Sind",,,,Yes,,,,,Km2,,,,,1973,8,,1973,8,,474,,4800000,,4800000,,,661500,17.36698602
1974-0128-IND,1974,0128,Natural,Hydrological,Flood,,,,Govern,India,IND,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1974,6,,1974,6,,,,,,,,,,19.28687447
1974-0129-IND,1974,0129,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"Tinsukia, Dhemaji, Nowgong, Majuli, Jorhat, Dhubri",,,,,,,,,Km2,,,,,1974,7,2,1974,7,2,260,,,,,,,,19.28687447
1975-0037-IND,1975,0037,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"Northwest, Bihar",,,,Yes,,,,,Km2,,,,,1975,7,,1975,7,,350,,27000000,7000000,34000000,,,714259,21.05030752
1976-0052-PAK,1976,0052,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Punjab, Sind, North West Frontier",,,,,,,,,Km2,,,,,1976,8,2,1976,8,2,338,,5566000,,5566000,,,505000,22.25960139
1977-0121-IND,1977,0121,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,Tamil Nadu,,,,,,,,,Km2,,,,,1977,10,,1977,10,,60,,45000,,45000,,,,23.706851
1977-0072-PAK,1977,0072,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,Karachi,,,,Yes,No,No,,,Km2,,,,,1977,6,,1977,6,,848,,777000,245000,1022000,,,,23.706851
1978-0085-NPL,1978,0085,Natural,Hydrological,Flood,,,,Kill,Nepal,NPL,Southern Asia,Asia,Terai area,,Broken Dam/Burst bank,,Yes,,,,,Km2,,,,,1978,7,,1978,7,,130,48,27000,700,27748,,,513,25.51591532
1978-0087-IND,1978,0087,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,"North, Northeast",,,,Yes,,,,,Km2,,,,,1978,7,,1978,7,,3800,,32000000,,32000000,,,165000,25.51591532
1978-0111-IND,1978,0111,Natural,Hydrological,Flood,,,,Kill,India,IND,Southern Asia,Asia,West Bengal,,,,,,,,,Km2,,,,,1978,9,,1978,9,,810,,,,,,,1000,25.51591532
1978-0067-LKA,1978,0067,Natural,Hydrological,Flood,,,,Kill,Sri Lanka,LKA,Southern Asia,Asia,,,,,,,,,,Km2,,,,,1978,5,,1978,5,,10,,1000,,1000,,,,25.51591532
1978-0086-PAK,1978,0086,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,,,,,Yes,,,,,Km2,,,,,1978,7,,1978,7,,393,,2236000,10000,2246000,,,,25.51591532
1980-0033-AFG,1980,0033,Natural,Hydrological,Flood,,,,Affect,Afghanistan,AFG,Southern Asia,Asia,Southern provinces,,,,,,,,,Km2,,,,,1980,3,,1980,3,,,,30000,,30000,,,,32.23389323
1980-0073-BGD,1980,0073,Natural,Hydrological,Flood,,,,Kill,Bangladesh,BGD,Southern Asia,Asia,North Western,,,,,,,,,Km2,,,,,1980,8,,1980,8,,655,,10000000,,10000000,,,150000,32.23389323
